"CompanyName","Region","Contracts"
"DUCOMMUN LABARGE TECHNOLOGIES","Midwest",21
"EAGLEPICHER TECHNOLOGIES","Midwest",8
"STANLEY MACHINING & TOOL CORP.","Midwest",11
"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","Northeast",7
"HERLEY INDUSTRIES","Northeast",4
"PARKER-HANNIFIN CORPORATION","Northeast",5
"PORT ELECTRONICS CORPORATION","Northeast",4
"TELETRONICS TECHNOLOGY CORPORATION","Northeast",5
"UNI-CAST","Northeast",9
"ALLIANT TECHSYSTEMS OPERATIONS","South",25
"DYNETICS","South",14
"MEASUREMENT SPECIALTIES","South",8
"MICRO CRAFT","South",6
"A. P. I. ","West",12
"ALLCOMP","West",7
"ATK SPACE SYSTEMS","West",4
"AZMARK AERO SYSTEMS","West",5
"CAID INDUSTRIES","West",4
"HI-TECH MACHINING & ENGINEERING","West",5
"INOVAR","West",6
"JANSEN'S AIRCRAFT SYSTEMS CONTROLS","West",5
"KEYSIGHT TECHNOLOGIES","West",6
"L3 TECHNOLOGIES","West",6
"MARVIN ENGINEERING CO.","West",7
"MORGAN ADVANCED CERAMICS","West",5
"ORBITAL SCIENCES CORPORATION","West",4
"PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA)","West",16
"PCC STRUCTURALS","West",4
"PRAXIS RESOURCES","West",5
"RADIUS AEROSPACE","West",4
"SPARTRONICS LOGAN","West",4
"TRI MODELS","West",10
"VENTURA AEROSPACE","West",6
